cdp id,hETH coll,hUSDT coll,hUSDC coll,hWBTC coll,WOWO coll,EARLY coll,LSULP coll,xwBTC coll,HUG coll,XRD coll,xUSDT coll,xUSDC coll,xETH coll,hETH loan,hUSDT loan,hUSDC loan,hWBTC loan,WOWO loan,EARLY loan,LSULP loan,xwBTC loan,HUG loan,XRD loan,xUSDT loan,xUSDC loan,xETH loan,hETH coll value,hUSDT coll value,hUSDC coll value,hWBTC coll value,WOWO coll value,EARLY coll value,LSULP coll value,xwBTC coll value,HUG coll value,XRD coll value,xUSDT coll value,xUSDC coll value,xETH coll value,hETH loan value,hUSDT loan value,hUSDC loan value,hWBTC loan value,WOWO loan value,EARLY loan value,LSULP loan value,xwBTC loan value,HUG loan value,XRD loan value,xUSDT loan value,xUSDC loan value,xETH loan value,coll total value,loan total value,net value
#757#,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4849.84857099603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.002250142143449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.002250142143449,0.0,8.002250142143449
#758#,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82300.36740027509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.7956062104539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.7956062104539,0.0,135.7956062104539
#759#,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5879766074549798,0.0,0.0,0.0,-3.061240734331122e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5879766074549798,0.0,0.0,0.0,-3.061240734331122e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5879766074549798,-3.061240734331122e-08,0.5879765768425724
#760#,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5128.838508580158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3219.4936469755253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.462583539157261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.312164517509617,0.0,0.0,0.0,8.462583539157261,-5.312164517509617,3.150419021647645
#761#,0.0,7.390778983986204e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4743.900809860326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.390778983986204e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4743.900809860326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4743.900809934234,0.0,4743.900809934234
#762#,0.0,0.0,0.0,0.0,0.0,0.0,15081.958968017167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2760.6585310588093,0.0,0.0,-7062.6006540562175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.429275714702218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.386845385069744,0.0,0.0,-11.653291079192758,0.0,0.0,0.0,29.429275714702218,-17.040136464262503,12.389139250439715
#763#,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6106101999086696,0.0,0.0,0.0,0.0,0.0,-1.6275109913521935e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010075068298493048,0.0,0.0,0.0,0.0,0.0,-1.6275109913521935e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010075068298493048,-1.6275109913521935e-07,0.0010073440787501694
#764#,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#765#,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.86261326226844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16972331188274292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16972331188274292,0.0,0.16972331188274292
#766#,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1617122729155183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.968419931745346e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1617122729155183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.34673112177671245,0.0,0.0,0.0,0.0,0.0,2.1617122729155183,-0.34673112177671245,1.8149811511388059
#767#,0.0,0.0,0.44063126563894117,0.0,0.0,0.0,0.0,0.0,0.0,134.48372257799176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44063126563894117,0.0,0.0,0.0,0.0,0.0,0.0,0.2218981422536864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6625294078926276,0.0,0.6625294078926276
#768#,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
