cdp id,hETH coll,hUSDT coll,hUSDC coll,hWBTC coll,WOWO coll,EARLY coll,LSULP coll,xwBTC coll,HUG coll,XRD coll,xUSDT coll,xUSDC coll,xETH coll,hETH loan,hUSDT loan,hUSDC loan,hWBTC loan,WOWO loan,EARLY loan,LSULP loan,xwBTC loan,HUG loan,XRD loan,xUSDT loan,xUSDC loan,xETH loan,hETH coll value,hUSDT coll value,hUSDC coll value,hWBTC coll value,WOWO coll value,EARLY coll value,LSULP coll value,xwBTC coll value,HUG coll value,XRD coll value,xUSDT coll value,xUSDC coll value,xETH coll value,hETH loan value,hUSDT loan value,hUSDC loan value,hWBTC loan value,WOWO loan value,EARLY loan value,LSULP loan value,xwBTC loan value,HUG loan value,XRD loan value,xUSDT loan value,xUSDC loan value,xETH loan value,coll total value,loan total value,net value
#1#,0.0,0.0,0.0,0.0,0.0,0.0,0.7648488691346381,0.0,0.0,0.0,0.0,9.427499600952319e-07,0.0,0.0,0.0,-3.3936537443824887e-07,0.0,0.0,0.0,0.0,-1.8364062548219984e-08,0.0,-1.4784303135434455e-09,0.0,-0.00042657974464858125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021873977055686523,0.0,0.0,0.0,0.0,9.427499600952319e-07,0.0,0.0,0.0,-3.3936537443824887e-07,0.0,0.0,0.0,0.0,-0.0012481318751523195,0.0,-3.5659739162667905e-12,0.0,-0.00042657974464858125,0.0,0.0021883404555287475,-0.001675050988741313,0.0005132894667874345
#2#,0.0,0.0,0.0,0.0,320.61607141226034,657.3452449592969,0.0,0.0,0.0,3115.58046494692,0.0,9.942839451418277e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09084797941040218,-0.0001741678738287791,0.0,0.0,0.0,0.0,0.0,0.02746080499038867,0.0640548759260097,0.0,0.0,0.0,7.514780081451971,0.0,9.942839451418277e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09084797941040218,-0.0001741678738287791,0.0,7.606395190762884,-0.09102214728423096,7.515373043478653
#3#,0.0,0.0,0.0,0.0,475.0,0.0,18.00418993212843,5.5044141583004876e-06,1.0,10.388625525677453,0.28636578723143535,2.7183113368698293,0.0004018300057621164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.101800415228957e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.040683807,0.0,0.05149033402208953,0.3741130126830509,3.87126e-07,0.025057364767934017,0.28636578723143535,2.7183113368698293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.101800415228957e-06,0.0,0.0,3.496022029700339,-4.101800415228957e-06,3.4960179278999237
#4#,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009961798316759141,4.188196499617752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0889690642114223e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.402785754002305e-06,4.188196499617752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0889690642114223e-05,0.0,0.0,4.1881989024035065,-1.0889690642114223e-05,4.188188012712864
#5#,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.815694024096875e-05,0.0,10.366783296935086,0.0,85.17958463173102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0026664163036574534,0.0,0.0,-0.07567410795709684,0.0,-4.234352847540302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.234054600417682,0.0,0.025004681312207427,0.0,85.17958463173102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.625706384726902e-06,0.0,0.0,-0.00018252594839251757,0.0,-4.234352847540302,0.0,86.43864391346091,-4.23454299919508,82.20410091426582
#6#,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0149869819192308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1863528717144757e-06,-2.1167552359247585e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.167179850362464e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1863528717144757e-06,-2.1167552359247585e-06,0.0,1.167179850362464e-06,-3.3031081076392342e-06,-2.13592825727677e-06
#7#,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#8#,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#9#,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.628069769966969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0436591767744955e-07,0.0,0.0,-7.73228420118799e-08,-8.734211975537307e-06,-1.074809398144878e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0039269042851603295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007093333960865537,0.0,0.0,-7.73228420118799e-08,-8.734211975537307e-06,0.0,0.0039269042851603295,-0.0071021454956830855,-0.003175241210522756
#10#,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
