cdp id,hETH coll,hUSDT coll,hUSDC coll,hWBTC coll,WOWO coll,EARLY coll,LSULP coll,xwBTC coll,HUG coll,XRD coll,xUSDT coll,xUSDC coll,xETH coll,hETH loan,hUSDT loan,hUSDC loan,hWBTC loan,WOWO loan,EARLY loan,LSULP loan,xwBTC loan,HUG loan,XRD loan,xUSDT loan,xUSDC loan,xETH loan,hETH coll value,hUSDT coll value,hUSDC coll value,hWBTC coll value,WOWO coll value,EARLY coll value,LSULP coll value,xwBTC coll value,HUG coll value,XRD coll value,xUSDT coll value,xUSDC coll value,xETH coll value,hETH loan value,hUSDT loan value,hUSDC loan value,hWBTC loan value,WOWO loan value,EARLY loan value,LSULP loan value,xwBTC loan value,HUG loan value,XRD loan value,xUSDT loan value,xUSDC loan value,xETH loan value,coll total value,loan total value,net value
#1#,0.0,0.0,0.0,0.0,0.0,0.0,0.7648779664401865,0.0,0.0,0.0,0.0,1.091300884502725e-06,0.0,0.0,0.0,-3.4060930955564526e-07,0.0,0.0,0.0,0.0,-1.8397791588043233e-08,0.0,-1.4792687310959218e-09,0.0,-0.0004938067574028409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023035661442126483,0.0,0.0,0.0,0.0,1.091300884502725e-06,0.0,0.0,0.0,-3.4060930955564526e-07,0.0,0.0,0.0,0.0,-0.0012398823684929977,0.0,-3.7573425769836414e-12,0.0,-0.0004938067574028409,0.0,0.002304657445097151,-0.001734029738962737,0.0005706277061344139
#2#,0.0,0.0,0.0,0.0,320.61607141226034,657.3452449592969,0.0,0.0,0.0,3116.187876226142,0.0,0.00011509551786886607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09085499173986203,-0.00020161593253797868,0.0,0.0,0.0,0.0,0.0,0.027623254741451834,0.06795503673340221,0.0,0.0,0.0,7.9151172056144015,0.0,0.00011509551786886607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09085499173986203,-0.00020161593253797868,0.0,8.010810592607124,-0.09105660767240001,7.919753984934723
#3#,0.0,0.0,0.0,0.0,475.0,0.0,18.00487486929281,5.504414493405547e-06,1.0,10.390650884480062,0.28637836029059827,3.1466408823609697,0.00040183007526997406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.102117022995875e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.040924480000000006,0.0,0.054224885536602034,0.37095900595408,4.0767e-07,0.02639225324657936,0.28637836029059827,3.1466408823609697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.102117022995875e-06,0.0,0.0,3.925520275058829,-4.102117022995875e-06,3.925516172941806
#4#,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000996374046164258,4.188380384860765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0890531190236414e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5307900772572154e-06,4.188380384860765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0890531190236414e-05,0.0,0.0,4.188382915650842,-1.0890531190236414e-05,4.1883720251196515
#5#,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.815694134635115e-05,0.0,10.36880439739282,0.0,98.60149560843554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002666743017756899,0.0,0.0,-0.07571702272947266,0.0,-4.9016674503987545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.223650748154643,0.0,0.026336763169377764,0.0,98.60149560843554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.031371278232063e-06,0.0,0.0,-0.00019232123773286057,0.0,-4.9016674503987545,0.0,99.85148311975956,-4.901867803007765,94.9496153167518
#6#,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0149869819192308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.186444443340461e-06,-2.450346160079842e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2291197429190128e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.186444443340461e-06,-2.450346160079842e-06,0.0,1.2291197429190128e-06,-3.6367906034203032e-06,-2.4076708605012906e-06
#7#,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#8#,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#9#,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6283871772535934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0455760522938908e-07,0.0,0.0,-7.73288103696406e-08,-1.0110683754246754e-05,-1.0753087493167363e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0041361034302241275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007046450689224219,0.0,0.0,-7.73288103696406e-08,-1.0110683754246754e-05,0.0,0.0041361034302241275,-0.007056638701788835,-0.0029205352715647075
#10#,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
