cdp id,hETH coll,hUSDT coll,hUSDC coll,hWBTC coll,WOWO coll,EARLY coll,LSULP coll,xwBTC coll,HUG coll,XRD coll,xUSDT coll,xUSDC coll,xETH coll,hETH loan,hUSDT loan,hUSDC loan,hWBTC loan,WOWO loan,EARLY loan,LSULP loan,xwBTC loan,HUG loan,XRD loan,xUSDT loan,xUSDC loan,xETH loan,hETH coll value,hUSDT coll value,hUSDC coll value,hWBTC coll value,WOWO coll value,EARLY coll value,LSULP coll value,xwBTC coll value,HUG coll value,XRD coll value,xUSDT coll value,xUSDC coll value,xETH coll value,hETH loan value,hUSDT loan value,hUSDC loan value,hWBTC loan value,WOWO loan value,EARLY loan value,LSULP loan value,xwBTC loan value,HUG loan value,XRD loan value,xUSDT loan value,xUSDC loan value,xETH loan value,coll total value,loan total value,net value
#311#,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#312#,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.990061579666414,0.0,0.0,0.0,0.0,0.0,0.0,-5.167143207280844e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000516006974318253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004458181815282623,0.0,0.0,0.0,0.0,0.0,0.0,-0.004521043620642448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000516006974318253,0.0,0.004458181815282623,-0.005037050594960701,-0.0005788687796780779
#313#,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1500330385439292,0.0,0.0,0.0,0.0,-0.0025494208260575853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.31179325350996e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017146992604689985,0.0,0.0,0.0,0.0,-0.0025494208260575853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.31179325350996e-05,0.0,0.0017146992604689985,-0.002562538758592685,-0.0008478394981236864
#314#,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.638480461473133e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00017417224676179567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6683364864570532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.5969081992183736e-07,0.0,0.0,0.0,0.6683364864570532,-2.5969081992183736e-07,0.6683362267662333
#315#,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024288389999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024288389999999997,0.0,0.024288389999999997
#316#,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#317#,0.0,0.0,0.0,0.0,0.0,0.0,9.389734254756949,0.0,0.0,0.0,0.0,0.6291094814638263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.931138449306296,0.0,0.0,0.0,-0.2056106080536079,-0.19581912932360931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016426310024849535,0.0,0.0,0.0,0.0,0.6291094814638263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.029619169371173475,0.0,0.0,0.0,-0.2056106080536079,-0.19581912932360931,0.0,0.6455357914886758,-0.4310489067483907,0.2144868847402851
#318#,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.45473889295912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005404005326282877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06926401568940205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.057371941487769e-06,0.0,0.0,0.0,0.06926401568940205,-8.057371941487769e-06,0.06925595831746056
#319#,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#320#,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
